CHOU, T
REVCOLEVSCHI, A
ERB, A
DEUTSCHER, G
BOK, J
ANGILELLA, GGN
SUDBOE, A
PUCCI, R
PROVASI, D
BREDA, N
BROGLIA, RA
COLO, G
ROMAN, HE
ONIDA, G
FLIESSBACH, T
MISHONOV, T
PENEV, E
CARMI, R
POLTURAK, E
KOREN, G
BOSSCHE, MVD
ZHANG, FC
MILA, F
KILIN, D
SCHREIBER, M
CORREIA, S
POLONYI, J
RICHERT, J
VILDOSOLA, VL
LLOIS, AM
SCHNEIDER, U
BRAND, R
LUNKENHEIMER, P
LOIDL, A
ROBBINS, MO
MUSER, MH
SARMA, SD
HWANG, EH
CARLSON, EW
ORGAD, D
KIVELSON, SA
EMERY, VJ
RYBIN, A
VARZUGIN, G
LINDBERG, M
TIMONEN, J
BULLOUGH, RK
VELHINHO, MT
PIMENTEL, IR
ROZHKOV, AV
AROVAS, DP
GEORGES, A
GIAMARCHI, T
SANDLER, N
ROY, M
MITCHELL, JF
SCHIFFER, P
OF, ANL
RAMIREZ, AP
DOYE, J
MISHRA, SR
RAWAT, HS
MEHENDALE, SC
RUSTAGI, KC
GOVINDARAJ, A
RAO, CNR
TCHERNYSHYOV, O
PRYADKO, LP
CHAKRABORTI, A
CHAKRABARTI, BK
HINRICHSEN, H
LAVAGNO, A
SWAMY, PN
AZARIA, P
LECHEMINANT, P
ZHU, SL
WANG, ZD
ZHANG, YD
ZIEGLER, K
ANLAGE, SM
STEINHAUER, DE
FEENSTRA, BJ
VLAHACOS, CP
WELLSTOOD, FC
WILKE, S
NATOLI, V
COHEN, MH
FRADKIN, E
LUBENSKY, TC
LIU, CY
MACLAUGHLIN, DE
LUKEFAHR, HG
MILLER, G
HUI, K
MAPLE, MB
ANDRADE, MCD
FREEMAN, EJ
BERGEMAN, T
FEDER, DL
BALAZS, NL
SCHNEIDER, BI
PROKOFEV, N
STAMP, P
BARKAI, E
XIN, Z
JIANJUN, Z
ZHONG-CAN, OY
NISHINO, T
OKUNISHI, K
HIEIDA, Y
MAESHIMA, N
AKUTSU, Y
NAUMOV, VN
FROLOVA, GI
NOGTEVA, VV
STABNIKOV, PA
BASOVA, TV
NADOLINNY, VA
SHVEDENKOV, YG
IGUMENOV, IK
WU, MW
METIU, H
EVERS, F
MIRLIN, AD
SALASNICH, L
FILHO, AGS
FREIRE, PTC
AYALA, AP
SASAKI, JM
POTASHNIK, SJ
MAJUMDAR, SN
RADHAKRISHNAN, J
KURASOV, V
KULIC, ML
KULIC, IM
KOLOMEISKY, EB
STRALEY, JP
LEE, N
THIRUMALAI, D
BEACH, KSD
GOODING, RJ
CHANDRAN, M
KLEINEKATHOEFER, U
CELESTINI, F
PASSERONE, D
ERCOLESSI, F
TOSATTI, E
METHFESSEL, M
FIORENTINI, V
OPPO, S
KORUTCHEVA, E
TONCHEV, N
MENYHARD, N
ODOR, G
SIBER, A
GUMHALTER, B
BRAUN, J
GRAHAM, AP
BERTINO, MF
P, J
LIPPIELLO, E
ZANNETTI, M
LOISON, D
SOKOLOV, AI
DELAMOTTE, B
ANTONENKO, SA
SCHOTTE, KD
DIEP, HT
HALBRITTER, A
KOLESNYCHENKO, OY
MIHALY, G
SHKLYAREVSKII, OI
KEMPEN, HV
SANTIS, LD
RESTA, R
PARAMEKANTI, A
RANDERIA, M
SCHWEIGERT, VA
PEETERS, FM
RAMASCO, J
LOPEZ, J
RODRIGUEZ, M
SANCHEZ-CANIZARES, J
FERRER, J
SOLS, F
YANG, X
CANDELA, D
SHPATAKOVSKAYA, GV
STROBL, K
NEWMAN, MEJ
SCALAS, E
GORENFLO, R
MAINARDI, F
MELIK-ALAVERDIAN, V
ORTIZ, G
BONESTEEL, NE
GONI, MDAR
THOMSEN, C
EBERL, K
ROJO, AG
SANDERS, GD
KIM, KW
HOLTON, WC
ABANOV, A
CHUBUKOV, AV
KAWAMURA, H
HUKUSHIMA, K
NOH, JD
GEIM, AK
DUBONOS, SV
PALACIOS, JJ
STUBNER, R
WINKLER, R
PANKRATOV, O
SIURAKSHINA, L
IHLE, D
HAYN, R
VIGEZZI, E
WEIGT, M
HARTMANN, A
VOITURIEZ, R
NECHAEV, S
QIN, W
FRAUNDORF, P
VILGIS, TA
JOHNER, A
JOANNY, JF
SCHILLER, R
MUELLER, W
NOLTING, W
LIANG, JQ
MULLER-KIRSTEN, HJW
PARK, DK
PU, FC
HAVILAND, DB
ANDERSSON, K
AGREN, P
NIE, YH
JIN, YH
KHOR, KE
ANGLIN, JR
ZUREK, WH
JOHNSTON, DC
TROYER, M
MIYAHARA, S
LIDSKY, D
UEDA, K
AZUMA, M
HIROI, Z
TAKANO, M
ISOBE, M
UEDA, Y
KOROTIN, MA
ANISIMOV, VI
MAHAJAN, AV
MILLER, LL
WATANABE, JI
NAKAJIMA, T
MOLA, MM
HILL, S
KING, JT
MCRAVEN, CP
QUALLS, JS
BROOKS, JS
PREIS, C
HELM, C
SCHMALZL, K
WALTER, C
KELLER, J
MENES, R
PINCUS, P
STEIN, B
ODAGAWA, A
SAKAI, M
ADACHI, H
SETSUNE, K
BURKE, K
PETERSILKA, M
GROSS, EKU
JOHNSEN, K
STASYUK, IV
VELYCHKO, OV
CZAPLA, Z
CZUKWINSKI, R
BEENAKKER, CWJ
PATRA, M
BROUWER, PW
CHAMATI, H
DANCHEV, DM
TONCHEV, NS
BATIREV, IG
ALAVI, A
FINNIS, MW
STAUNTON, JB
POULTER, J
GINATEMPO, B
BRUNO, E
JOHNSON, DD
RINN, B
MAASS, P
BOUCHAUD, JP
MARKOVIC, N
CHRISTIANSEN, C
GRUPP, DE
MACK, AM
MARTINEZ-ARIZALA, G
GOLDMAN, AM
CRESCIMANNO, M
KOAY, CG
PETERSON, R
WALSWORTH, R
KOMURA, S
ANDELMAN, D
GARRIDO, PL
MUNOZ, MA
SANTOS, FDL
KOKALES, JD
FOURNIER, P
MERCALDO, LV
TALANOV, VV
BAILEY, N
SETHNA, J
MYERS, C
KONSTANTINOVIC, MJ
POPOVIC, ZV
COTE, R
FERTIG, HA
YAN, XZ
ZHAO, H
GAJIC, R
PROVOOST, R
MOSHCHALKOV, VV
VASILEV, AN
HOWARD, M
ZIA, RKP
ARNDT, PF
REILLY, DJ
FACER, GR
DZURAK, AS
KANE, BE
CLARK, RG
STILES, PJ
OBRIEN, JL
LUMPKIN, NE
PFEIFFER, LN
WEST, KW
LEE, DS
KIM, D
KUZMENKO, AB
MAREL, DVD
BENTUM, PJMV
TISHCHENKO, EA
PRESURA, C
BUSH, AA
PLEIMLING, M
SELKE, W
MIYASHITA, S
SAITO, K
KOBAYASHI, H
RAEDT, HD
TURIEL, AM
MARKOV, I
RAZEE, SSA
PINSKI, FJ
DUMONT, E
MOTA, AC
SMITH, JL
KAGANOVA, IM
KAGANOV, MI
AMANN, A
MAENO, Y
MELNIKOV, AS
NEFEDOV, IM
RYZHOV, DA
SHERESHEVSKII, IA
VYSHESLAVTSEV, PP
WEES, BJV
GOTZE, W
VOIGTMANN, T
ROUZIERE, S
RAVY, S
POUGET, JP
BRAZOVSKII, S
BALUCANI, U
DURIN, G
ZAPPERI, S
WARNER, Y
KALOS, MH
PEDERIVA, F
MELROSE, JR
ALVES, NA
HANSMANN, UHE
DIEDRICH, G
SANTEN, L
SCHADSCHNEIDER, A
ZITTARTZ, J
MCCAULEY, JL
COMAS, F
STUDART, N
RODRIGUES, ES
ANDA, EV
ORELLANA, P
FOMIN, VM
DEVREESE, JT
BRUYNDONCX, V
SPECTOR, MS
PRASAD, SK
WESLOWSKI, BT
KAMIEN, RD
SELINGER, JV
RATNA, BR
SHASHIDAR, R
ZHONG, F
ATTANASIO, C
LUCCIO, TD
PRISCHEPA, SL
RUSSO, R
SALVATO, M
MARITATO, L
BARBANERA, S
TUISSI, A
LOTKHOV, SV
BOGOSLOVSKY, SA
ZORIN, AB
NIEMEYER, J
FELDMEIER, H
SCHNACK, J
ROSNER, H
DIVIS, M
KOEPERNIK, K
DRECHSLER, SL
ESCHRIG, H
HABERKERN, R
ROSENBAUM, R
BEKAR, H
PILOSOF, M
MILNER, A
BRUNE, P
KAMPF, AP
LILLO, F
MANTEGNA, RN
TEIXEIRA, AMR
MORENO, AJD
FILHO, JM
MELO, FEA
PANOV, YD
MOSKVIN, AS
SKRYABIN, YN
CHUKIN, AV
SHCHANOV, AV
PAL, D
DASGUPTA, D
SARMA, BK
BHATTACHARYA, S
RAMAKRISHNAN, S
GROVER, AK
GUBERNATIS, JE
GUERRERO, M
ZACHAR, O
LEE, SS
SALK, SHS
AKKERMANS, E
MALLICK, K
IWAMATSU, M
OKABE, Y
OKAMOTO, S
ISHIHARA, S
MAEKAWA, S
HILT, O
BROM, HB
AHLSKOG, M
PELLEGRINI, YP
BARTHELEMY, M
TOMER, E
SAFONOV, L
HAVLIN, S
RUBIO, A
VENEMA, LC
DEKKER, C
GHOSH, S
RAJARAMAN, R
FABRIZIO, M
GOGOLIN, AO
NERSESYAN, AA
CASTRO, CD
BENFATTO, L
CAPRARA, S
CASTELLANI, C
GRILLI, M
KLEIN, W
GOULD, H
TOBOCHNIK, J
ALEXANDER, FJ
ANGHEL, M
JOHNSON, G
PERALI, A
BELITZ, D
KIRKPATRICK, TR
HENRY, J
WERNSDORFER, W
CANESCHI, A
SESSOLI, R
GATTESCHI, D
CORNIA, A
VILLAR, V
PAULSEN, C
BERCIU, M
JOHN, S
WESSEL, S
HAAS, S
BHATTACHARYYA, B
CHAKRABARTI, A
KURAMOTO, Y
KUSUNOSE, H
TAKADA, Y
KIDO, M
LEE, J
LEE, KC
LOUIS, AA
BUHOT, A
CAPONE, M
FEINBERG, D
LUPI, S
CALVANI, P
CAPIZZI, M
ROY, P
KAGAN, MY
KUGEL, KI
KHOMSKII, DI
ROUX, JN
LITINSKII, LB
LANG, IG
KOROVIN, LI
CONTRERAS-SOLORIO, DA
PAVLOV, ST
DAI, P
MOOK, HA
HAYDEN, SM
AEPPLI, G
PERRING, TG
HUNT, RD
DOGAN, F
RAMIREZ, R
RISSO, D
SOTO, R
CORDERO, P
NIGHTINGALE, MP
BLOETE, HWJ
TARUCHA, S
AUSTING, DG
TOKURA, Y
WIEL, WGVD
KOUWENHOVEN, LP
RABERTO, M
CUNIBERTI, G
RIANI, M
SERVIZI, G
STANESCU, T
MARTIN, I
PHILLIPS, P
SHICK, AB
PICKETT, WE
LIECHTENSTEIN, AI
MCCOY, BM
DZHUNUSHALIEV, V
SCHNEIDER, T
SINGER, JM
LAVAGNA, M
FENG, S
YUAN, F
YU, W
HEISS, WD
MCLACHLAN, DS
CHITEME, C
KOLESNIKOV, AV
EFETOV, KB
GODRECHE, C
LUCK, JM
GARBEROGLIO, G
VALLAURI, R
DOMINGUEZ-ADAME, F
GOMEZ, I
AVAKYAN, A
SEDRAKYAN, D
SEDRAKYAN, A
VENTURINI, F
MICHELUCCI, U
DEVEREAUX, TP
BONANNO, G
VANDEWALLE, N
MILLER, P
FREERICKS, JK
FERBER, CV
JUSUFI, A
LIKOS, CN
LOWEN, H
WATZLAWEK, M
ARNOLD, GB
KLEMM, RA
FILOCHE, M
SAPOVAL, B
RIVERS, RJ
KAVOUSSANAKI, E
KARRA, G
TSAI, SW
MARSTON, JB
KNOSPE, W
SCHRECKENBERG, M
KRISHNAMURTHY, S
BARMA, M
KACHKACHI, H
GARANIN, DA
PERAKIS, IE
SHAHBAZYAN, TV
ZHAI, Z
KUSKO, C
HAKIM, N
SRIDHAR, S
SIARKOS, A
RUNGE, E
ZIMMERMANN, R
KOTOV, VN
ZHITOMIRSKY, ME
SUSHKOV, OP
LEE, CH
OYANAGI, H
SEKINE, C
SHIROTANI, I
ISHII, M
YING, HP
HARADA, K
BHATTACHARYYA, AJ
BHATTACHARYYA, AMAK
LEMMENS, LF
BROSENS, F
NAGEL, P
PASLER, V
MEINGAST, C
RYKOV, AI
TAJIMA, S
DALFOVO, F
MAYOL, R
PI, M
BARRANCO, M
DIAS, FC
ORBACH, R
CASTRO, M
SANCHEZ, A
DRZEWINSKI, A
LENAERTS, C
DORBOLO, S
BOVEROUX, P
BRISBOIS, F
LENTZ, JF
ANTAL, T
SCHUTZ, GM
STARR, FW
SASTRY, S
SCIORTINO, F
STANLEY, HE
GU, YQLSJ
YING, ZJ
ECKERN, U
ARANSON, IS
KALATSKY, VA
VINOKUR, VM
BRAY, AJ
CAVAGNA, A
MAAROUF, AA
KANE, CL
MELE, EJ
DALVIT, DAR
DZIARMAGA, J
SORNETTE, D
SORNETTE, A
NAYAK, C
MUNEHISA, T
MUNEHISA, Y
SHUKLA, P
RAMSAK, A
SEGA, I
PRELOVSEK, P
MENASHE, D
BIHAM, O
LAIKHTMAN, BD
EFROS, AL
SENGUPTA, S
NIELABA, P
BINDER, K
ANGELANI, L
PARISI, G
DZYUBENKO, AB
WANG, X
ZOTOS, X
KARADAMOGLOU, J
PAPANICOLAOU, N
SATOU, A
NAKAMURA, YO
YAMANAKA, M
BISWAS, P
CAIN, P
ROEMER, RA
GINGRAS, MJP
HERTOG, BCD
FAUCHER, M
GARDNER, JS
CHANG, LJ
GAULIN, BD
RAJU, NP
GREEDAN, JE
SHIMAHARA, H
HATA, S
HANNEMANN, A
SCHOEN, JC
OLIGSCHLEGER, C
JANSEN, M
KONIG, J
LIN, HH
SENS, P
GRIGORYAN, LS
KHACHATRYAN, HF
ARZUMANYAN, SR
BIJLSMA, MJ
ZAREMBA, E
STOOF, HTC
ANDERSEN, JV
BONCA, J
KATRASNIK, T
TRUGMAN, SA
SETLUR, GS
WOJS, A
QUINN, JJ
HAWRYLAK, P
GUREVICH, VL
MURADOV, MI
KOHMOTO, M
SATO, M
LEE, IJ
CHOW, DS
CLARK, WG
STROUSE, J
NAUGHTON, MJ
CHAIKIN, PM
BROWN, SE
GASSYM, TM
STAN, G
BOJAN, MJ
CURTAROLO, S
GATICA, SM
COLE, MW
CSAHOK, Z
MISBAH, C
RIOUAL, F
VALANCE, A
POLITI, P
TORCINI, A
MORTENSEN, NA
RONNOW, HM
BRUUS, H
HEDEGARD, P
CHOI, MY
KIM, JS
DAS, J
RAO, M
TORMA, P
ZOLLER, P
CORBERI, F
GONNELLA, G
LAMURA, A
DATTA, S
REDNER, S
WILLS, AS
DUPUIS, V
VINCENT, E
HAMMANN, J
CALEMCZUK, R
WIESE, KJ
STALIUNAS, K
DASSANAYAKE, U
FRADEN, S
BLAADEREN, AV
LUKKARINEN, J
TISSIER, M
MOUHANNA, D
HENELIUS, P
SANDVIK, AW
ROEHNER, BM
MULET, R
HERRMANN, H
LU, R
ZHU, JL
KOU, SP
ZHOU, Y
GU, BL
SCHEER, E
CUEVAS, JC
YEYATI, AL
MARTIN-RODERO, A
JOYEZ, P
DEVORET, MH
ESTEVE, D
URBINA, C
PRUSCHKE, T
BULLA, R
JARRELL, M
NAJI, A
ROUHANI, S
MATULIS, A
BUSCH, T
ADHIKARI, SK
CONIGLIO, A
NICODEMI, M
MONTAGNA, M
VARELA, AT
GUEDES, I
CHAVES, AS
THOMAS, PJ
FENTON, JC
YANG, G
GOUGH, CE
GROEBER, C
EDER, R
HANKE, W
JACOBSEN, JL
TARAS-SEMCHUK, D
HESSINGER, D
EVERS, M
PALBERG, T
FORRO, L
GAAL, R
BERGER, H
FAZEKAS, P
PENC, K
KEZSMARKI, I
BELEVTSEV, BI
KRASOVITSKY, VB
BOBKOV, VV
NAUGLE, DG
RATHNAYAKA, KDD
PARASIRIS, A
FILIPPETTI, A
ZHELUDEV, A
MASUDA, T
TSUKADA, I
UCHIYAMA, Y
UCHINOKURA, K
BONI, P
LEE, SH
AFFLECK, I
CAUX, JS
ZAGOSKIN, A
ALTSHULER, E
CROOKER, SA
SAMARTH, N
AWSCHALOM, DD
ORMENO, RJ
ANKERHOLD, J
GRABERT, H
VEENSTRA, KJ
PETUKHOV, AV
JURDIK, E
RASING, T
FELBINGER, T
SANTOS, L
WILKENS, M
LEWENSTEIN, M
EMPERADOR, A
LIPPARINI, E
SERRA, L
POPKOV, V
PESCHEL, I
FOERSTER, D
BIALAS, P
TRIMPER, S
TAEUBER, UC
SCHUETZ, GM
MARQUES, MI
GONZALO, JA
INIGUEZ, J
SHROCK, R
ZHAO, GM
LEE, B
JUNGWIRTH, T
MARCONI, VI
CANDIA, S
BALENZUELA, P
PASTORIZA, H
DOMINGUEZ, D
MARTINOLI, P
MOORE, C
REZAYI, EH
HALDANE, FDM
YANG, K
KOMORI, T
YOSHINO, H
TAKAYAMA, H
JOHNSTON-HALPERIN, E
KNOBEL, R
FASOLINO, A
WESTERBURG, W
REISINGER, D
JAKOB, G
GONZALEZ, J
GUINEA, F
VOZMEDIANO, MAH
WAIDACHER, C
BECKER, KW
PLAKIDA, NM
OUDOVENKO, VS
KRUG, MKJ
SMILAUER, P
ZAMBORSZKY, F
CALDERON, MJ
BREY, L
BIEHL, M
KUEHN, R
STAMATESCU, IO
MARINELLI, L
HALPERIN, BI
SIMON, SH
BIGGS, N
TZENG, WJ
WU, FY
LU, WT
RASMUSSEN, KO
LOOKMAN, T
SAXENA, A
BISHOP, AR
ALBERS, RC
HENLEY, CL
GREEN, F
DAS, MP
SINGH, A
KAUPUZS, J
ZHANG, GM
YU, L
ERCOLESSI, E
MORANDI, G
PIERI, P
RONCAGLIA, M
BOGHOSIAN, BM
BROWER, RC
KIMURA, SR
DOROGOVTSEV, SN
MENDES, JFF
HELBING, D
HUBERMAN, BA
MAURER, SM
AGTERBERG, DF
HEEB, R
KEALEY, PG
RISEMAN, TM
FORGAN, EM
MACKENZIE, AP
GALVIN, LM
PERRY, RS
LEE, SL
PAUL, DM
CUBITT, R
MAO, ZQ
AKIMA, S
ILLUMINATI, F
KRAEMER, M
MAKHLIN, Y
SCHOEN, G
SHNIRMAN, A
THALMANN, F
DASGUPTA, C
OUILLON, G
KUEHNEL, F
DYKMAN, MI
RYDBERG, H
LUNDQVIST, BI
LANGRETH, DC
DION, M
EROLES, J
BALATSKY, AV
MATVEEV, KA
GLAZMAN, LI
LARKIN, AI
DRAGULESCU, A
YAKOVENKO, VM
LIVANOV, DV
SAVONA, G
VARLAMOV, AA
THAKUR, JS
NEILSON, D
JARLBORG, T
KAVOULAKIS, GM
MYSYROWICZ, A
HUR, KL
CAMPOSTRINI, M
PELISSETTO, A
ROSSI, P
VICARI, E
IVANOV, NB
WIESSNER, RM
FLEDDERJOHANN, A
MUETTER, KH
KARBACH, M
XIANG, T
HARDY, WN
ANGELINI, L
PELLICORO, M
STRAMAGLIA, S
CARLO, FD
MARANGI, C
NOJIRI, H
LUTHER, S
MOTOKAWA, M
YUKALOV, VI
GLUZMAN, S
ZINOVIEV, YM
KHENNER, M
AVERBUCH, A
ISRAELI, M
NATHAN, M
YOSHIOKA, H
TSUCHIIZU, M
SUZUMURA, Y
THORWART, M
REIMANN, P
HANGGI, P
DEGIOVANNI, P
PEYSSON, S
WILHELM, FK
GOLUBOV, AA
FLATTE, ME
BRODSKY, M
ZHITENEV, NB
ASHOORI, RC
LYNN, JW
KEIMER, B
ULRICH, C
VILLARRUEL, FX
LAUDERDALE, BE
MUETH, DM
JAEGER, HM
AMARAL, LAN
SCALA, A
ADAMIC, LA
ANDREEV, A
KAMENEV, A
LAZARIAN, A
BAK, P
CHEN, K
COLLAR, JI
PUIBASSET, J
GIRARD, TA
LIMAGNE, D
MILEY, HS
WAYSAND, G
ARISUE, H
KOGUT, JB
STEPHANOV, MA
TOUBLAN, D
VERBAARSCHOT, JJM
ZHITNITSKY, A
BETTENCOURT, LMA
ANTUNES, ND
LAINE, M
KLICH, I
FEINBERG, J
MANN, A
REVZEN, M
CASEIRO, R
FRANCOISE, JP
SASAKI, R
JACOBSON, T
CASELLE, M
HASENBUSCH, M
PROVERO, P
ZAREMBO, K
AKEMANN, G
KANZIEPER, E
SHIRKOV, DV
KOVALEV, VF
REY-BELLET, L
THOMAS, LE
AIZENMAN, M
SCHENKER, JH
FRIEDRICH, RM
HUNDERTMARK, D
MINEEV-WEINSTEIN, M
WIEGMANN, PB
ZABRODIN, A
RAJESH, S
ANANTHAKRISHNA, G
VOLLMER, J
TEL, T
MATYAS, L
GALLAVOTTI, G
CHERNYKH, AI
STEPANOV, MG
COHEN, D
KOTTOS, T
KOLOKOLOV, IV
ANTONOV, NV
LANOTTE, A
MAZZINO, A
SAKHR, J
WHELAN, ND
BRUSCH, L
ZIMMERMANN, M
HECKE, MV
BAER, M
BELYAEV, VB
MILLER, MB
MOTOVILOV, AK
SERMYAGIN, AV
KUZNETZOV, IV
SOBOLEV, YG
SMOLNIKOV, AA
KLIMENKO, AA
OSETROV, SB
VASILIEV, SI
RISCHKE, DH
PAPP, G
BARNAFOELDI, G
FAI, G
LEVAI, P
SCHULTZ, SR
PANZERI, S
BISWAS, PK
YANNOULEAS, C
LANDMAN, U
PERELLO, J
PORRA, JM
MONTERO, M
MASOLIVER, J
BLENCOWE, MP
VITELLI, V
ELATTARI, B
GURVITZ, SA
ALBEVERIO, S
DABROWSKI, L
FEI, SM
YOU, L
ILIEVA, N
THIRRING, W
MUGA, JG
BUTTIKER, M
ROMMER, S
EGGERT, S
DROZDOV, AD
RABIN, Y
DAUXOIS, T
HOLDSWORTH, P
CONSOLI, L
KNOPS, HJF
SILVESTRELLI, PL
ANCILOTTO, F
TOIGO, F
MANOLESCU, A
GUDMUNDSSON, V
CORDERO, F
CANTELLI, R
PAOLONE, A
FERRETTI, M
ETO, M
NAZAROV, YV
YAOUANC, A
REOTIER, PDD
GYGAX, FN
SCHENCK, A
AMATO, A
BAINES, C
GUBBENS, PCM
KAISER, CT
VISSER, AD
KEIZER, RJ
HUXLEY, A
MENOVSKY, AA
BINDER, P
CAPUTO, P
FISTUL, MV
USTINOV, AV
FILATRELLA, G
HE, H
SIDIS, Y
BOURGES, P
GU, GD
IVANOV, A
KOSHIZUKA, N
LIANG, B
LIN, CT
REGNAULT, LP
SCHOENHERR, E
CASA, D
ZIMMERMANN, MV
HILL, JP
GIBBS, D
TAGUCHI, Y
PLAPP, M
KARMA, A
FURUSAKI, A
GRUZBERG, IA
MUDRY, C
KOLTON, AB
GRONBECH-JENSEN, N
CAO, D
BRIDGES, F
WORLEDGE, D
BOOTH, C
GEBALLE, T
KOPELEVICH, Y
ESQUINAZI, P
SILBEY, R
SASAKI, M
NEMOTO, K
KAJIMOTO, R
OOHARA, Y
KUBOTA, M
YOSHIZAWA, H
PARK, SK
SCHAKEL, AMJ
SERRANO, M
ESPANOL, P
NAKAO, H
ANTON, L
AGHASYAN, MM
BADALYAN, SM
BRYANT, GW
KUZMENKO, NK
MIKHAJLOV, VM
FRAUENDORF, S
PAIVA, T
SANTOS, RRD
DROSSEL, B
KARDAR, M
GIANINETTI, P
PAROLA, A
CUGLIANDOLO, LF
IGUAIN, JL
SMITH, RA
AMBEGAOKAR, V
HALES, J
ZHUKOV, A
ROY, R
HOROVITZ, B
DOUSSAL, PL
BOWICK, MJ
TRAVESSET, A
JR, HW
MORR, DK
JOH, YG
WOOD, GG
PAINTER, B
BEHRINGER, RP
GAMMAL, A
FREDERICO, T
TOMIO, L
ABDULLAEV, FK
BALATSKY, A
SHISHIDOU, T
OGUCHI, T
ZUMOFEN, G
BOOTH, CH
KWEI, GH
NEUMEIER, JJ
SAWATZKY, GA
ISPOLATOV, I
KRAPIVSKY, PL
MIYAKAWA, T
SUZUKI, T
YABU, H
FERRARI, F
KLEINERT, H
LAZZIZZERA, I
KOPIETZ, P
VOELKER, A
GOLDOBIN, E
MALOMED, BA
FULDE, P
OVCHINNIKOV, A
GREEN, AG
SOUSA, AO
OLIVEIRA, SMD
KRZAKALA, F
MARTIN, OC
HEISELBERG, H
CHISOLM, ED
CLEMENTS, BE
WALLACE, DC
JOHANSEN, A
FORRESTER, PJ
JANCOVICI, B
MCANALLY, DS
ANDREI, N
ORIGNAC, E
GIRARDEAU, MD
WRIGHT, EM
WU, YS
YU, Y
YANG, HX
OLSON, CJ
GANTMAKHER, VF
GOLUBKOV, MV
DOLGOPOLOV, VT
TSYDYNZHAPOV, GE
SHASHKIN, AA
MARTINEZ, JC
SCHATTKE, A
JOURDAN, M
ADRIAN, H
TAUT, M
NAD, F
MONCEAU, P
CARCEL, C
FABRE, JM
MAZIN, II
LAJKO, P
TURBAN, L
RISAU-GUSMAN, S
GORDON, MB
CUCCOLI, A
FUBINI, A
TOGNETTI, V
VAIA, R
ZARAND, G
COX, DL
SCHILLER, A
RICCI-TERSENGHI, F
STARIOLO, DA
ARENZON, JJ
MATHIAS, N
GOPAL, V
SHUKRINOV, YM
NAMIRANIAN, A
NAJAFI, A
GORYO, J
YI, S
ROKHINSON, LP
GUO, LJ
CHOU, SY
TSUI, DC
VALLS, OT
NISHINO, M
ONISHI, H
YAMAGUCHI, K
KOL, B
AHARONY, A
FLEUROV, V
KLAFTER, J
MISRA, A
DIETEL, J
OPPEN, FV
STERN, A
XU, H
BAUS, M
KOCHETOV, E
MIERZEJEWSKI, M
WYSOKINSKI, KI
CRISTEA, PI
REFICE, A
GUERRIERO, L
KRASNOV, VM
YURGENS, A
WINKLER, D
DELSING, P
FLEISCHHAUER, M
ESSEN, H
MCQUEENEY, RJ
YI, YS
YU, ZG
ALVES, N
RAGHU, C
RUDRA, I
RAMASESHA, S
SEN, D
MALACARNE, LC
MENDES, RS
LIDORIKIS, E
SIGALAS, MM
SOUKOULIS, CM
ECONOMOU, EN
MAKSE, HA
JOHNSON, DL
SCHWARTZ, LM
